add_id,pais,estado,cidade,rua,numero,complemento,nome
,Brasil,Minas Gerais,Belo Horizonte,R. Hermilo Alves,437,,Circus arte e gastronomia. Santa Tereza
,Brasil,São Paulo,Santos,Av. Conselheiro Nébias,630,,Layback
,Brasil,Goiás,Goiânia,R. 3,,,Vila Cultural Cora Coralina
,Brasil,Distrito Federal,Brasília,Via S2,,Ali no pátio central da Birosca,CONIC
,Brasil,São Paulo,São Paulo,Av. Liberdade,602,,Casa de Portugal
,Brasil,SP,São Paulo,R. 24 de Maio,109,,Sesc
,Brasil,RS,Porto Alegre,R. Laurindo,332,,Espaço Barraco Cultural
,Brasil,São Paulo,Santos,Av. Conselheiro Nébias,630,,Layback
,Brasil,MG,,,,,
,Brasil,SP,Santo Antonio do Pinhal,,,,
,Brasil,MG,Belo Horizonte ,,,,Praça da Liberdade
,Brasil,SP,São Paulo ,R. Evangelina,1390,,Colégio Marupiara
,Brasil,SP,São Paulo ,Ribeiro da Silva,700,,RBS 700
,Brasil,SP,Ribeirão Pires,R. Maj. Cardim,3100,,Parque Oriental - Milton Marinho de Moraes
,Brasil,PR,Londrina,Av. Duque de Caxias,3241,,Canto do Marl
,Brasil,SP,São Paulo ,Rua Augusta,1371,Loja 116,Ugra Press
,Brasil,SP,Santos,Av. Senador Pinheiro Machado,48,,Teatro Municipal de Santos
,Brasil,RS,Porto Alegre,R. Laurindo,332,,Barraco Cultural
,Brasil,SP,São Paulo,R. da Consolação,94,,Biblioteca Mário de Andrade
,Brasil,PR,Curitiba,R. Riachuelo,266,,Alfaiataria Espaço de Artes
,Brasil,SP,São Paulo,Av. Manuel Bandeira,360,,ARCA
,Brasil,DF,Brasília,Via S3,,"SCS, Quadra 01, Bloco E, Sala 713 ",CONIC SCS
,Brasil,PR,Curitiba,,,,Prç. Eufrásio Corrêia - Centro
,Brasil,PE,olinda,Largo do Varadouro,,,mercado eufrásio barbosa
,Brasil,SP,São Roque,Rua Marechal Deodoro da Fonseca,132,,FATEC de São Roque
,Brasil,SP,São Paulo,Av. Junta Mizumoto,13,,Casa de Cultura do Butantã
,Brasil,MG,Belo Horizonte,Rua Bernardo Guimarães,1600,,BDMG Cultural
,Brasil,RS,Porto Alegre,,,,
,Brasil,SP,São Paulo,Rodovia dos Imigrantes,,,São Paulo Expo
,Brasil,SP,São Paulo,Rua Vergueiro,1000,,Centro Cultural São Paulo
